date,business,amount
2017-03-07,Dr. Head,-2571.45
2018-09-20,HSE,-2363.83
2017-01-11,Steam,-8139.53
2017-12-19,Dodo Pizza,3458.25
2019-12-11,QIWI,-1928.63
2019-07-21,Mindbox,7775.32
2016-04-24,Amazon,-3902.45
2018-03-01,Local Kitchen,-8558.4
2019-05-12,Friday's,8910.56
2016-03-28,KFC,115.05
2019-09-22,Mindbox,-5645.54
2019-01-04,McDonald's,7261.08
2019-01-07,World of Warcraft,534.36
2019-07-22,Papa John's,9470.5
2016-01-17,Dr. Head,6297.47
2016-01-20,Yves Rocher,8213.15
2017-08-13,VK,-9528.87
2017-07-31,Burger King,6847.73
2019-05-26,Dodo Pizza,-1953.14
2019-02-23,Perekrestok,-7043.41
2017-10-25,World of Warcraft,-9326.45
2018-09-15,QIWI,979.71
2017-11-01,VK,9246.74
2017-05-22,Local Kitchen,3616.74
2019-09-02,Mindbox,-2018.36
2019-04-29,Stellar,3979.67
2018-02-13,Perekrestok,4262.98
2018-08-10,Yves Rocher,-9185.87
2019-12-27,Wildberries,-7870.91
2018-11-06,Local Kitchen,-3526.88
2019-09-12,World of Warcraft,9848.03
2018-02-19,Local Kitchen,-9858.8
2016-12-03,Wildberries,-3254.2
2019-05-15,Dodo Pizza,8350.05
2016-12-05,Wildberries,-1861.77
2016-10-15,Friday's,4374.39
2018-08-19,QIWI,-1413.3
2019-12-13,Dr. Head,7212.3
2016-08-14,QIWI,-3859.65
2019-10-07,Steam,-4375.63
2019-01-03,Friday's,303.15
2019-07-27,HSE,595.7
2018-08-24,KFC,6280
2019-01-08,Papa John's,8975.27
2016-02-05,Perekrestok,-9008.86
2017-11-13,Mindbox,8361.18
2016-12-30,Friday's,-2615.14
2017-02-18,Google Play,-4205.65
2019-11-23,McDonald's,-94.26
2018-08-16,VK,-1007.78
2017-07-29,HSE,-6917.14
2016-07-08,Mindbox,246.26
2016-04-17,Steam,6544.89
2017-07-06,Steam,-5692.91
2018-05-27,5ka,-3015.09
2016-03-14,Local Kitchen,4144.74
2016-09-18,VK,-578.51
2017-02-14,Papa John's,1150.13
2017-07-25,VK,5387.6
2017-06-06,Dodo Pizza,7759.63
2018-05-29,Amazon,-758.4
2019-05-16,Coinbase,-1982.41
2016-11-30,Mindbox,866.21
2019-05-14,McDonald's,5096.43
2016-12-08,Dodo Pizza,-8776.97
2018-05-13,Dr. Head,7874.88
2018-10-02,HSE,4202.07
2018-06-15,Dr. Head,-5656.56
2018-04-12,Dodo Pizza,746.64
2016-04-10,Stellar,-7716.31
2017-11-28,Yandex.Money,2628.29
2018-01-02,Wildberries,542.79
2017-04-08,Steam,8176.71
2019-01-21,Yandex.Money,2052.82
2018-06-17,QIWI,-9128.14
2018-04-24,Google Play,7765.78
2019-12-12,Coinbase,-3592.83
2016-03-05,Perekrestok,7561.93
2016-08-06,Google Play,-9183.84
2017-09-23,Friday's,-8920.63
2017-04-15,Burger King,1962.59
2017-08-26,Amazon,1720.14
2017-04-23,Yves Rocher,-7673.44
2017-03-17,Coinbase,-3509.04
2016-10-28,Wildberries,-6391.23
2016-11-06,Papa John's,2931.49
2016-04-25,Steam,-7902.62
2016-05-17,Wildberries,-8869.55
2018-04-08,Dr. Head,3943.66
2019-12-19,5ka,-2924.57
2017-07-14,Amazon,-3047.32
2018-06-19,QIWI,-9579.08
2019-09-28,Google Play,-8509.84
2018-06-23,Yves Rocher,-1489.3
2016-02-12,Stellar,5309.45
2017-01-19,McDonald's,-8360.67
2018-07-14,Yandex.Money,-5307.09
2019-07-02,Coinbase,3830.09
2016-06-10,McDonald's,1715.94
2019-11-18,Dodo Pizza,-3110.78
2019-05-01,Local Kitchen,2424.93
2019-04-06,Coinbase,7426.31
2016-06-24,5ka,-3089.73
2016-01-14,HSE,-445.83
2018-01-09,VK,-3727.76
2016-11-07,Perekrestok,1812.73
2019-10-25,Friday's,-6510.19
2018-10-25,Yves Rocher,-6688.38
2017-04-21,HSE,4865.63
2018-05-15,Perekrestok,3561.3
2016-05-08,Yandex.Money,5008.28
2016-12-07,Burger King,-9296.93
2019-08-30,Dodo Pizza,5046.77
2016-07-11,Perekrestok,7636.09
2018-02-10,Dodo Pizza,7984.27
2017-02-09,Dr. Head,7739.84
2016-09-09,VK,2267.71
2016-12-15,Yandex.Money,2981.79
2019-01-28,Dodo Pizza,-3608.69
2019-06-17,Perekrestok,-8047.54
2018-07-26,VK,-2440.47
2016-06-28,Dr. Head,4717.54
2016-04-02,McDonald's,-5732.04
2016-10-23,Dodo Pizza,6566.08
2018-09-06,Local Kitchen,-8595.12
2016-02-11,Burger King,-8036.84
2017-11-01,Amazon,-7133.45
2018-01-21,Yves Rocher,-1050.76
2018-12-20,Friday's,2474.28
2016-05-03,Steam,-61.39
2016-08-08,Starbucks,6036.37
2019-08-11,Wildberries,-146.63
2016-06-30,KFC,-1674.49
2016-08-09,Yves Rocher,523.08
2019-03-04,McDonald's,7779.95
2019-09-28,OZON,4941.07
2018-05-10,Papa John's,6016.04
2016-06-04,VK,9972.45
2019-10-01,Local Kitchen,178.57
2018-05-12,Stellar,7864.49
2016-02-16,Dodo Pizza,7996.58
2017-05-18,OZON,8378.01
2016-08-05,OZON,3800.01
2016-09-09,Local Kitchen,-7342.36
2017-02-05,Steam,1897.68
2016-03-26,5ka,8845.6
2019-06-01,Dr. Head,5128.9
2018-07-14,Yves Rocher,-8517.47
2018-07-24,Stellar,1360.29
2019-04-27,Dodo Pizza,-2733.57
2019-04-02,World of Warcraft,-9470.7
2016-09-20,Papa John's,-7976.99
2018-04-14,OZON,-8018.71
2018-01-04,Papa John's,3236.13
2018-01-30,Friday's,-3783.51
2019-01-14,Friday's,6759.32
2017-01-29,Google Play,-5256.94
2017-01-19,Papa John's,-2628.77
2016-10-31,HSE,-9130.68
2019-02-02,OZON,-2304.15
2018-04-12,World of Warcraft,9764.11
2018-05-03,OZON,-4489.08
2017-10-09,Wildberries,8995.1
2017-05-29,Steam,-740
2016-03-04,Amazon,9780.22
2019-10-03,VK,9194.88
2018-04-25,Mindbox,-1147.03
2018-09-07,5ka,9001.77
2016-08-21,5ka,2783.74
2017-10-10,Steam,-201.13
2019-08-14,Burger King,6125.1
2016-08-19,McDonald's,3077.26
2017-08-19,Papa John's,8894.86
2017-06-15,QIWI,1621.71
2016-03-22,Perekrestok,3387.87
2017-03-18,Google Play,-3668.01
2016-07-05,McDonald's,5909.8
2018-09-02,Dr. Head,7036.17
2018-12-21,KFC,-6791.16
2017-02-24,Friday's,-6298.58
2018-09-19,Perekrestok,2432.36
2016-02-15,Dr. Head,-9260.87
2019-04-30,Stellar,539.75
2018-06-16,OZON,9794.45
2017-03-25,McDonald's,-1052.22
2019-08-26,Stellar,-2076.78
2016-08-04,Dr. Head,-2289.32
2019-09-30,Mindbox,-2844.69
2017-11-26,Papa John's,2580.6
2018-03-27,Stellar,645.63
2019-04-26,VK,-7617.98
2018-07-14,Coinbase,-8949.56
2019-04-05,QIWI,-1317.24
2018-01-07,Steam,-9049.66
2019-07-04,Mindbox,-6778.47
2019-09-18,Steam,-6736.63
2019-02-25,Yves Rocher,4985.65
2017-02-12,QIWI,-2091.22
2019-04-18,Friday's,2423.61
2016-11-04,World of Warcraft,2441.96
2018-05-30,Starbucks,9035.17
2019-08-07,5ka,-9410.69
2016-03-08,Perekrestok,9025.93
2019-04-16,Burger King,6088.64
2018-05-17,Friday's,8059.96
2019-12-12,Papa John's,400.06
2016-04-25,Papa John's,-5796.48
2019-05-28,Wildberries,-437.38
2018-03-27,McDonald's,2706.06
2016-03-22,Starbucks,4629.33
2019-09-02,QIWI,624.26
2017-12-03,Friday's,-2400.75
2017-08-17,5ka,6206.33
2016-07-09,KFC,2696.82
2016-09-09,Papa John's,-5635.32
2017-03-12,McDonald's,5505.26
2017-05-17,Local Kitchen,9117.37
2016-02-06,World of Warcraft,-574.66
2018-05-08,Perekrestok,4814.2
2017-09-18,Dr. Head,-4701.07
2016-08-22,5ka,8553.77
2016-11-07,Google Play,-3052.17
2016-01-09,OZON,222.87
2016-10-19,OZON,-9379.99
2018-12-11,Dr. Head,-2650.05
2017-09-03,KFC,6037.32
2018-09-03,KFC,-80.62
2017-11-15,Stellar,-1399.74
2019-08-28,VK,3174.61
2016-02-17,Friday's,2017.51
2019-08-28,Burger King,8065.51
2018-09-20,Google Play,5213.07
2018-08-12,Papa John's,5188.85
2019-04-02,Stellar,630.32
2016-02-09,Papa John's,8468.49
2018-11-21,Dodo Pizza,-7593.91
2019-11-04,Perekrestok,-3992.12
2018-10-10,Starbucks,-2685.5
2016-03-15,5ka,-4850.81
2016-04-28,Dr. Head,-2318.52
2016-04-15,McDonald's,8856.88
2018-07-22,Google Play,4896.78
2019-02-05,Mindbox,6619.14
2019-02-12,Local Kitchen,6672.44
2019-11-18,HSE,2736.97
2017-10-17,Dodo Pizza,-8212.2
2017-10-23,Perekrestok,-5703.38
2019-10-30,Starbucks,-8729.5
2018-11-05,Local Kitchen,-3139.2
2018-03-07,Steam,8991.37
2016-12-08,Stellar,366.44
2019-08-06,Perekrestok,7931.91
2016-12-06,Google Play,-628.81
2016-01-30,Yandex.Money,-5313.95
2016-09-28,Friday's,7166.96
2016-09-17,Yves Rocher,-9085.35
2016-12-18,Amazon,-6064.83
2018-03-10,Yandex.Money,4320.74
2016-09-15,Google Play,-1235.2
2017-10-09,McDonald's,-5835.73
2019-04-29,Mindbox,4504.08
2017-01-10,Yandex.Money,-3070.95
2019-02-02,Mindbox,-8567.11
2018-09-14,Perekrestok,7203.91
2016-04-22,Yandex.Money,-8983.1
2016-05-29,Papa John's,-1665.7
2017-06-14,Papa John's,5011.53
2018-10-18,OZON,-4977.5
2017-09-25,Wildberries,-1066.91
2016-10-13,Steam,2452.13
2016-08-25,Burger King,-5243.4
2018-09-24,World of Warcraft,-6844.94
2018-03-08,Steam,-3173.84
2018-09-07,VK,-2751.06
2019-08-16,Dr. Head,6991.87
2017-02-14,McDonald's,-1192.02
2018-09-28,KFC,9500.81
2018-06-07,Steam,-762.47
2019-06-25,Starbucks,3016
2019-08-24,Local Kitchen,-2934.25
2018-02-05,Amazon,1672.15
2018-06-27,Dr. Head,-982.33
2016-02-01,5ka,51.99
2016-07-19,Dodo Pizza,4275.17
2018-10-26,5ka,4774.21
2016-09-17,Mindbox,2867.51
2017-10-20,Papa John's,-5141.97
2017-04-12,Mindbox,4381.51
2017-07-26,McDonald's,-539.29
2018-06-02,Papa John's,-6403.47
2018-09-17,Papa John's,1867.03
2019-07-18,Mindbox,-4279.25
2016-12-12,Yandex.Money,-2188.3
2016-04-05,Yandex.Money,8835.93
2019-07-28,KFC,4091.72
2016-09-22,OZON,-1439.14
2016-03-11,McDonald's,-3326.34
2016-10-20,Coinbase,-343.74
2017-07-08,World of Warcraft,-8077.27
2018-07-03,VK,-3504.96
2019-11-08,VK,5816.19
2016-01-31,VK,-9628.19
2018-06-28,Papa John's,717.49
2017-12-06,McDonald's,3918.88
2019-09-01,Yves Rocher,9442.95
2017-02-25,Amazon,-5304.24
2016-11-05,McDonald's,252.26
2016-06-17,OZON,7498.62
2016-06-07,5ka,-5290.52
2019-06-20,Steam,-75.36
2016-11-14,Dr. Head,4050.14
2019-12-26,Yves Rocher,5305.73
2016-02-26,HSE,-6102.87
2019-03-27,Starbucks,2373.65
2016-09-07,HSE,5377.87
2018-02-08,Amazon,9359.94
2018-12-11,HSE,-6380.14
2017-08-17,Coinbase,-2031.2
2017-04-04,Steam,-9625.31
2018-11-17,5ka,-3481.37
2016-03-24,KFC,-2415.93
2018-06-03,VK,6182.6
2016-07-17,Stellar,5998.07
2018-03-03,Yandex.Money,3946.49
2018-07-03,Coinbase,-3622.43
2017-03-03,QIWI,4185.8
2019-06-16,Dodo Pizza,1888.1
2019-05-08,Amazon,-5840.58
2018-05-18,Papa John's,-1441.28
2016-02-24,Perekrestok,4206.66
2017-04-29,QIWI,6482.41
2019-12-27,Amazon,4082.43
2017-10-30,Coinbase,-8168.43
2016-03-17,Steam,-9569.02
2016-11-27,VK,5454.22
2019-09-02,Yves Rocher,-7597.48
2017-10-02,Yves Rocher,-6581.39
2018-04-29,Yves Rocher,6276.36
2017-11-21,Local Kitchen,-605.54
2018-08-01,Starbucks,-4578.16
2019-04-25,Papa John's,-9045.16
2017-03-02,QIWI,9977.31
2016-08-17,Mindbox,1388.45
2019-07-07,Google Play,-8840.74
2018-05-03,Mindbox,-101.12
2016-02-28,Starbucks,-6879.87
2019-07-14,Dodo Pizza,-7132.83
2017-07-22,World of Warcraft,-2019.02
2019-12-08,Amazon,9937.35
2017-05-22,Yandex.Money,-1289.51
2017-03-11,Coinbase,4863.53
2018-01-11,Mindbox,1208.61
2016-12-16,Coinbase,-963.2
2019-09-09,Stellar,6401.31
2019-12-21,Papa John's,5397.66
2017-01-22,HSE,-9620.98
2018-11-07,Yves Rocher,-1094.01
2019-01-26,HSE,916.02
2018-10-06,Google Play,-2241.7
2017-12-22,Steam,6434.75
2019-07-12,KFC,3593.85
2016-02-14,Stellar,5675.03
2019-04-09,Stellar,3152.89
2017-07-03,VK,8667.22
2018-06-19,Amazon,5154.62
2019-01-07,Starbucks,-8923.16
2017-05-31,VK,6331.86
2018-03-25,Mindbox,3440.8
2018-03-06,Mindbox,777.52
2017-05-11,Starbucks,-9190.74
2016-05-11,HSE,-4240.23
2018-11-11,Yves Rocher,8191.93
2017-12-31,HSE,-8304.25
2017-08-27,Yandex.Money,2059.64
2017-05-01,5ka,1207.92
2016-02-15,Google Play,-7624.16
2017-10-08,Local Kitchen,-3568.53
2017-02-19,Amazon,253.26
2018-12-03,HSE,7154.88
2017-11-11,Google Play,-1387.69
2016-09-08,QIWI,719.68
2016-05-15,Local Kitchen,173.2
2016-02-05,Dodo Pizza,-4439.73
2019-04-21,HSE,-3891.27
2019-01-09,Burger King,-3946.6
2017-12-13,World of Warcraft,-6372.4
2016-11-05,Stellar,-2408.49
2018-02-07,Friday's,5026.26
2017-01-02,Yves Rocher,-2443.39
2017-06-14,Local Kitchen,3727.22
2016-07-14,Mindbox,5479.47
2018-12-27,Local Kitchen,-9428.27
2017-02-15,Starbucks,-4766.57
2016-02-11,QIWI,5586.15
2017-09-22,World of Warcraft,-5438.2
2018-01-17,World of Warcraft,2724.06
2016-05-26,QIWI,6476.71
2019-10-10,Local Kitchen,3280.98
2016-08-20,KFC,6097.79
2017-11-29,Perekrestok,5339.92
2019-11-01,QIWI,7100.28
2019-10-29,World of Warcraft,6065.58
2018-02-10,Burger King,-4359.78
2016-02-09,Google Play,-188.71
2018-06-12,Dr. Head,-9768.67
2019-10-29,VK,989.92
2016-12-31,Steam,8902.01
2019-10-30,HSE,-9377.07
2018-10-19,KFC,2020.14
2018-09-04,Yves Rocher,-5102.25
2018-05-27,KFC,7824.85
2019-08-05,Google Play,6228.11
2016-03-20,Stellar,-6185.9
2019-07-05,Friday's,1286.28
2016-09-20,Wildberries,3784.26
2019-10-12,Amazon,-3916.05
2019-09-01,Dr. Head,-3513.84
2018-01-12,Stellar,-3828.39
2016-03-10,Friday's,-994.4
2016-10-21,World of Warcraft,-9743.73
2019-03-05,Stellar,5173.07
2018-04-22,OZON,7420.34
2016-01-14,Steam,-8569.48
2019-05-09,Coinbase,-677.25
2016-03-25,Google Play,-9825.41
2016-03-01,Steam,-2142.87
2018-03-24,Papa John's,-2661.12
2017-06-22,Dr. Head,9421.11
2017-11-27,QIWI,6393.37
2016-11-26,Google Play,650.05
2016-05-28,Friday's,-7234.39
2017-01-18,OZON,-2539.27
2016-06-23,Coinbase,-2555.04
2016-06-04,Perekrestok,-1210.48
2016-02-22,Burger King,-3886.62
2016-05-30,5ka,9059.48
2018-04-22,OZON,9972.52
2016-03-10,Mindbox,-4882.71
2018-07-12,Yves Rocher,-1670.65
2018-09-23,McDonald's,7659.1
2018-07-16,Amazon,-4018.68
2019-03-03,Amazon,8474.11
2018-12-30,Yandex.Money,846
2017-04-20,KFC,-7931.79
2018-04-30,5ka,-3777.86
2017-11-23,HSE,-7612.87
2019-01-21,KFC,-6870.79
2019-05-10,Burger King,2593.08
2016-06-05,Google Play,-8988.05
2019-07-15,Local Kitchen,4621.57
2017-08-09,Starbucks,-3236.44
2017-05-12,HSE,7021.02
2018-02-23,Friday's,-8917.24
2016-10-30,Dr. Head,2076.49
2017-07-25,Burger King,-3060.16
2016-05-28,Stellar,8967.84
2019-06-10,QIWI,1672.39
2017-09-27,Friday's,-3368.91
2016-06-19,VK,-5523.93
2016-11-07,Starbucks,-6760.93
2016-10-03,Steam,3401.58
2018-04-13,Local Kitchen,9591.83
2016-06-30,Yandex.Money,-3443.3
2017-11-13,McDonald's,1123.53
2019-01-31,World of Warcraft,2932.4
2018-07-07,Friday's,9216.3
2016-07-10,OZON,-1273.08
2019-07-24,World of Warcraft,-4413.1
2018-05-07,OZON,-5012.53
2018-12-03,Mindbox,-8533.52
2018-05-30,Dodo Pizza,7496.85
2018-01-06,Perekrestok,-4812.56
2017-08-16,Papa John's,7126.15
2019-01-24,Steam,-738.07
2019-05-26,Yandex.Money,-1720.42
2018-02-18,Yves Rocher,6292.91
2019-07-09,Google Play,537.04
2018-01-15,Yves Rocher,-5130.93
2019-07-02,QIWI,-8862.75
2017-04-23,Dr. Head,6788.04
2017-07-23,Stellar,-7613.44
2019-06-11,Burger King,-1159.81
2018-06-07,5ka,786.54
2018-12-09,OZON,-2070.68
2019-04-04,Yandex.Money,-6765.06
2016-05-31,Yandex.Money,-9907.61
2019-11-13,Amazon,-7031.62
2019-05-18,Steam,-6393.87
2019-12-30,Yves Rocher,8850.78
2019-07-13,Wildberries,5287.18
2019-03-16,VK,7460.75
2018-06-18,Wildberries,319.8
2019-02-02,Amazon,-3684.9
2019-07-15,Steam,233.26
2019-04-30,Dr. Head,-9836.01
2019-07-22,Wildberries,-2575.89
2016-10-30,KFC,-3200.05
2017-10-07,VK,-624.98
2016-03-29,OZON,507.95
2019-07-10,Steam,8637.13
2019-10-06,Friday's,-5257.93
2017-01-21,VK,2815.55
2019-01-02,Stellar,-3014.29
2016-04-14,Coinbase,5472.67
2017-06-28,HSE,-1587.47
2017-09-23,Steam,4787.97
2016-10-15,Yves Rocher,-3293.04
2019-08-30,Stellar,5307.42
2019-02-22,Yves Rocher,-1904.11
2018-05-12,KFC,-6160.52
2019-06-14,Steam,2793.73
2017-12-26,World of Warcraft,-9644.92
2019-03-22,Local Kitchen,-8472.1
2017-02-15,Yandex.Money,-6928.09
2016-01-10,World of Warcraft,-7932.62
2019-01-24,QIWI,-459.54
2019-05-10,KFC,6920.67
2019-10-26,Steam,-6100.32
2018-07-15,Dodo Pizza,-373.57
2019-05-12,Dr. Head,1804.79
2016-10-24,Coinbase,8229.2
2019-02-11,Amazon,3975.48
2019-12-21,Yves Rocher,-787.57
2016-06-01,Dr. Head,50.01
2019-04-24,Coinbase,-6944.39
2019-03-21,McDonald's,2779.67
2018-11-27,McDonald's,-2034.45
2016-01-20,Dr. Head,2827.13
2016-03-04,Wildberries,-5237.37
2019-09-04,Yandex.Money,-2419.01
2018-01-25,Perekrestok,-2363.79
2019-02-27,KFC,-5560.55
2016-07-09,Mindbox,-724.22
2018-03-05,QIWI,-1439.58
2017-11-27,Coinbase,-529.17
2018-05-13,Burger King,-6935.45
2016-09-22,Yves Rocher,9992.21
2017-09-11,Dr. Head,5405.49
2017-01-10,QIWI,-2621.74
2017-01-26,Coinbase,-6580.28
2018-11-01,Starbucks,-1160.17
2016-03-28,Local Kitchen,4791.22
2019-03-11,Coinbase,-5377.53
2017-04-06,Yandex.Money,4862.34
2017-04-17,HSE,-8785.94
2019-10-05,Papa John's,-6027.07
2017-02-05,McDonald's,5300.25
2018-12-31,McDonald's,-6981.11
2019-12-14,Yandex.Money,-6971.35
2018-05-15,OZON,5148.1
2019-09-28,5ka,-2711.07
2017-08-14,Friday's,155.18
2016-06-01,Perekrestok,-3708.61
2017-04-02,Mindbox,7536.15
2016-10-23,KFC,-8616.44
2017-03-05,5ka,-3574.72
2019-09-16,Yves Rocher,7098.38
2016-04-03,KFC,-182.3
2016-03-02,Google Play,-3609.66
2017-06-07,Local Kitchen,-7942.8
2019-06-03,QIWI,-6324.28
2019-10-10,Dr. Head,-6160.3
2018-07-27,Steam,-3923.53
2016-03-02,VK,-4841.05
2017-04-25,Coinbase,839.29
2018-12-30,Yves Rocher,-3643.23
2019-01-19,Steam,1160.5
2019-01-21,Perekrestok,9885.54
2019-07-12,Friday's,7878.9
2018-07-19,KFC,3828.01
2019-09-18,Steam,9187.52
2018-02-12,Dr. Head,7943.6
2018-04-15,Starbucks,4373.54
2018-05-07,Google Play,6193.42
2019-06-13,Wildberries,-5983.31
2016-08-03,World of Warcraft,5408.12
2017-03-10,Perekrestok,-1077.37
2016-12-30,Yves Rocher,-8570.13
2017-12-26,Mindbox,1390.3
2018-06-21,Dodo Pizza,6397.29
2018-03-27,Burger King,5548.04
2017-07-20,Yves Rocher,-2694.86
2018-07-04,Local Kitchen,4901.6
2017-11-02,Papa John's,1134.97
2017-01-03,Dr. Head,-7378.89
2017-09-27,Wildberries,-9925.24
2018-11-05,Amazon,6815.74
2016-06-08,Coinbase,5806.89
2019-09-07,McDonald's,9319.83
2019-01-18,Dr. Head,-8069.59
2019-05-14,Google Play,-9219.89
2018-10-14,Dr. Head,6449.46
2017-05-12,Google Play,4219.99
2016-04-08,Yves Rocher,2309.07
2019-06-13,Wildberries,-1107.4
2019-02-11,Amazon,-762.92
2018-06-16,Starbucks,4246.42
2018-10-17,Coinbase,-7811.19
2019-08-29,Papa John's,4511.33
2016-03-02,Wildberries,3236.61
2018-09-15,Stellar,6218.12
2016-12-21,World of Warcraft,-2717.99
2016-10-13,Dodo Pizza,1504.19
2016-06-27,McDonald's,1061.17
2016-05-25,Yves Rocher,4017.79
2019-11-11,KFC,-5384.96
2018-02-16,5ka,9468.05
2018-11-20,Wildberries,-2852.48
2019-03-01,Starbucks,9883.49
2017-03-20,Google Play,-7731.82
2017-06-12,Friday's,-413.05
2018-06-06,Dodo Pizza,-1065.14
2018-04-24,5ka,-6631.61
2017-02-09,VK,4887.62
2019-09-14,Dr. Head,-3920.28
2017-10-08,VK,6008.23
2019-12-06,OZON,-2791.95
2019-08-05,OZON,6171.62
2016-03-11,QIWI,2489.57
2017-05-24,Yves Rocher,-7325.19
2018-05-17,Burger King,156.53
2018-03-03,Burger King,-742.34
2016-11-20,Wildberries,-5249.95
2019-12-30,Wildberries,4255.13
2018-12-23,Perekrestok,7454.97
2017-05-28,5ka,1438.96
2017-05-03,Coinbase,-4636.02
2019-01-20,Wildberries,8442.37
2018-11-16,McDonald's,2573.51
2016-10-09,Stellar,-369.11
2019-07-26,Dr. Head,3919.34
2017-01-25,Dodo Pizza,7699.38
2016-07-05,Dr. Head,2191.27
2018-02-28,Wildberries,-2725.36
2017-12-31,Stellar,-6272.35
2018-05-17,Perekrestok,1918.87
2019-05-28,Amazon,-4224.13
2016-06-15,KFC,2113.98
2018-08-28,Yandex.Money,-4210.7
2017-08-04,Steam,9304
2019-04-04,Papa John's,8775.95
2016-02-06,Perekrestok,159.1
2016-02-06,World of Warcraft,3267.09
2017-08-10,Yandex.Money,7363.22
2017-08-27,Starbucks,8922.74
2016-09-16,VK,95.32
2016-12-10,Google Play,-9446.32
2017-12-02,Dr. Head,5152.32
2017-07-19,Amazon,9052.09
2017-09-09,Dodo Pizza,-8965.27
2016-02-25,Amazon,-9193.52
2018-08-10,Yandex.Money,105.15
2016-04-18,Yves Rocher,2860.47
2016-12-13,Dodo Pizza,-3670.98
2016-12-07,Perekrestok,-1771
2019-12-09,Coinbase,8086.41
2018-12-04,Dr. Head,5419.71
2019-10-19,Stellar,2354.88
2017-05-09,5ka,6987.42
2018-07-07,McDonald's,2210.62
2016-06-09,Yves Rocher,2852.51
2016-03-08,Google Play,6867.95
2016-05-05,Dodo Pizza,501.65
2017-07-03,Wildberries,9941.22
2016-12-03,Dr. Head,-2116.87
2016-03-03,Starbucks,-6902.31
2016-07-19,Coinbase,-6405.31
2017-09-30,World of Warcraft,6783.73
2016-08-03,Stellar,-431.16
2017-04-08,Mindbox,5327.13
2017-09-22,Dr. Head,-9135.54
2019-05-18,Starbucks,3326.97
2016-01-22,Amazon,5944.27
2018-03-10,Stellar,4957.11
2016-04-30,KFC,-3306.35
2019-05-11,Perekrestok,-5832.76
2016-06-06,HSE,-8407.7
2016-10-19,Papa John's,-9862.16
2016-11-21,Yandex.Money,527.47
2019-05-09,QIWI,-4701.56
2016-11-30,Wildberries,7621.08
2018-08-08,Local Kitchen,-9513.42
2019-10-07,Papa John's,-2294.97
2016-03-02,McDonald's,-4877.6
2017-01-19,Coinbase,-3304.95
2018-10-14,VK,8472.53
2017-05-18,HSE,-4271.19
2017-02-14,Papa John's,-4346.9
2018-01-20,Burger King,-461.59
2019-07-05,Yandex.Money,-6691.9
2016-10-21,Friday's,9419.47
2017-04-11,Papa John's,7034.35
2019-01-01,Steam,-4689.44
2016-02-27,Friday's,6718.2
2018-09-28,KFC,-4068.67
2018-06-03,Mindbox,-4206.24
2016-11-25,Dr. Head,-5765.03
2017-03-20,OZON,-1684.66
2016-06-21,QIWI,5750.58
2017-11-10,Perekrestok,-1491.32
2017-01-21,Wildberries,4902.79
2018-11-21,Starbucks,2708.75
2017-06-08,OZON,8530.93
2018-07-21,KFC,-1711.35
2018-10-12,Amazon,9137.27
2018-08-03,Burger King,1247.36
2019-02-20,Coinbase,-5927.27
2018-06-23,Papa John's,-3074.61
2019-10-26,Friday's,8705.82
2017-05-24,Local Kitchen,-9200.41
2017-07-14,Yandex.Money,-7209.4
2016-08-30,Papa John's,-3075.76
2019-12-26,Local Kitchen,2698.71
2018-09-06,Friday's,-1156.31
2018-01-05,Wildberries,-665.67
2016-02-01,Local Kitchen,-4639.91
2018-05-01,Steam,352.63
2019-10-08,World of Warcraft,-8926.8
2019-12-11,OZON,-3037.56
2017-10-30,Starbucks,-7655.06
2019-01-02,Wildberries,1293.79
2016-12-01,VK,2422.22
2019-06-13,Friday's,-6373.84
2016-06-11,Dodo Pizza,7308.95
2019-03-23,Yves Rocher,-3.42
2019-11-24,HSE,6246.83
2019-07-26,HSE,22.75
2019-06-01,World of Warcraft,2613.41
2016-09-29,Wildberries,-9126.51
2018-01-16,Mindbox,-9359.55
2016-09-29,VK,9961.84
2019-07-10,OZON,7391.66
2017-08-29,VK,-9590.84
2018-04-23,Papa John's,5455.05
2017-08-31,Burger King,7862.2
2018-10-28,5ka,-3804.62
2017-02-16,Coinbase,-6232.25
2017-08-31,Amazon,-7191.03
2017-10-10,KFC,-5894.18
2016-04-15,Steam,5364.09
2017-07-29,Yandex.Money,-5620.76
2019-05-28,Yandex.Money,-8361.76
2019-10-05,Amazon,-4991.3
2019-06-15,Local Kitchen,2853.63
2016-02-28,Starbucks,5391.09
2017-10-20,Amazon,-9372.04
2018-12-28,VK,-9486.66
2017-11-17,Coinbase,7300.35
2018-04-21,McDonald's,2006.98
2018-01-25,Steam,-9985.36
2017-03-24,OZON,3543.44
2017-09-06,Wildberries,-3913.97
2019-10-25,Papa John's,9827.9
2018-01-08,Amazon,-7166.17
2016-06-01,HSE,378.97
2019-09-16,Perekrestok,3218.15
2016-05-05,Coinbase,9909.15
2017-07-19,Coinbase,-2858.67
2017-12-20,Perekrestok,-3613.11
2018-01-13,Steam,-4101.51
2016-12-16,5ka,6431.06
2016-09-05,5ka,-4788
2017-05-07,Stellar,2782.81
2019-04-02,Burger King,428.49
2018-06-16,Yandex.Money,7588.96
2017-04-11,5ka,-3121.79
2019-10-13,Local Kitchen,8894.04
2017-03-01,5ka,-9412.57
2016-08-29,QIWI,-2850.1
2018-03-13,QIWI,-3914.29
